,star_rating,title,year,content_rating,genre,duration,gross,rt_score,star_decimal,ratio
19,8.7,Seven Samurai,1954,Not Rated,Adventure,207,1418566,1.0,0.87,0.87
73,8.4,Citizen Kane,1941,R,Drama,119,554499,1.0,0.84,0.84
82,8.3,Toy Story,1995,R,Animation,81,83471511,1.0,0.83,0.83
71,8.4,3 Idiots,2009,PG-13,Comedy,170,1136687,1.0,0.84,0.84
76,8.4,M,1931,Not Rated,Crime,99,53089891,1.0,0.84,0.84
57,8.5,Modern Times,1936,G,Comedy,87,510702,1.0,0.85,0.85
8,8.9,12 Angry Men,1957,Approved,Crime,96,1535170,1.0,0.89,0.89
77,8.4,Witness for the Prosecution,1957,Not Rated,Crime,116,761927,1.0,0.84,0.84
51,8.5,Rear Window,1954,PG,Mystery,112,512829,1.0,0.85,0.85
66,8.4,Aliens,1986,G,Action,137,132384315,0.99,0.84,0.848484848485
94,8.3,L.A. Confidential,1997,R,Crime,138,13182281,0.99,0.83,0.838383838384
83,8.3,Taxi Driver,1976,R,Crime,114,936295,0.98,0.83,0.84693877551
85,8.3,Toy Story 3,2010,R,Animation,103,499468,0.98,0.83,0.84693877551
74,8.4,Das Boot,1981,PG,Adventure,149,13092000,0.98,0.84,0.857142857143
1,9.2,The Godfather,1972,R,Crime,175,28341469,0.98,0.92,0.938775510204
31,8.6,City Lights,1931,G,Comedy,87,847247,0.98,0.86,0.877551020408
55,8.5,Sunset Blvd.,1950,Not Rated,Drama,110,609350,0.98,0.85,0.867346938776
89,8.3,Up,2009,R,Animation,96,976336,0.98,0.83,0.84693877551
48,8.5,Once Upon a Time in the West,1968,PG-13,Western,164,322740140,0.98,0.85,0.867346938776
70,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG-13,Comedy,95,210609762,0.98,0.84,0.857142857143
26,8.6,Spirited Away,2001,PG,Animation,125,37030102,0.97,0.86,0.886597938144
91,8.3,Good Will Hunting,1997,R,Drama,126,899722,0.97,0.83,0.855670103093
43,8.5,Psycho,1960,R,Horror,109,858137,0.97,0.85,0.876288659794
7,8.9,"The Good, the Bad and the Ugly",1966,R,Western,178,57300000,0.97,0.89,0.917525773196
3,9.0,The Godfather: Part II,1974,R,Crime,202,134966411,0.97,0.9,0.927835051546
32,8.5,Coco,-2017,PG,Animation,105,46836394,0.97,0.85,0.876288659794
52,8.5,Grave of the Fireflies,1988,Not Rated,Animation,89,10055859,0.97,0.85,0.876288659794
50,8.5,Casablanca,1942,PG,Drama,102,216540909,0.97,0.85,0.876288659794
40,8.5,Alien,1979,R,Horror,116,188020017,0.97,0.85,0.876288659794
41,8.5,Apocalypse Now,1979,R,Drama,147,1050761,0.97,0.85,0.876288659794
5,8.9,Schindler's List,1993,R,Biography,195,534858444,0.97,0.89,0.917525773196
16,8.7,Goodfellas,1990,R,Biography,146,546853,0.96,0.87,0.90625
35,8.5,Back to the Future,1985,PG,Adventure,116,782176,0.96,0.85,0.885416666667
21,8.6,The Silence of the Lambs,1991,R,Crime,118,1718980,0.96,0.86,0.895833333333
17,8.7,The Lord of the Rings: The Two Towers,2002,PG-13,Adventure,179,379601,0.95,0.87,0.915789473684
39,8.5,Raiders of the Lost Ark,1981,PG,Action,115,1183361,0.95,0.85,0.894736842105
78,8.4,Paths of Glory,1957,Not Rated,Drama,88,248159971,0.95,0.84,0.884210526316
14,8.8,Star Wars: Episode V - The Empire Strikes Back,1980,PG,Action,124,582893,0.95,0.88,0.926315789474
49,8.5,The Pianist,2002,R,Biography,150,1034958,0.95,0.85,0.894736842105
2,9.0,The Dark Knight,2008,PG-13,Action,152,1344258,0.94,0.9,0.957446808511
18,8.7,One Flew Over the Cuckoo's Nest,1975,R,Drama,133,665845272,0.94,0.87,0.925531914894
44,8.5,Terminator 2,1991,R,Action,137,19501238,0.93,0.85,0.913978494624
25,8.6,Saving Private Ryan,1998,R,Drama,169,1573724,0.93,0.86,0.924731182796
81,8.3,2001: A Space Odyssey,1968,G,Adventure,149,517652,0.93,0.83,0.89247311828
24,8.6,Star Wars: Episode IV - A New Hope,1977,PG,Action,121,330252182,0.93,0.86,0.924731182796
72,8.4,Princess Mononoke,1997,PG,Animation,134,187705427,0.93,0.84,0.903225806452
69,8.4,The Lives of Others,2006,PG,Drama,137,867023,0.93,0.84,0.903225806452
92,8.3,Eternal Sunshine of the Spotless Mind,2004,R,Drama,108,6719864,0.93,0.83,0.89247311828
37,8.5,Whiplash,2014,R,Drama,107,266583,0.93,0.85,0.913978494624
30,8.6,It's a Wonderful Life,1946,PG,Drama,130,171479930,0.93,0.86,0.924731182796
6,8.9,The Lord of the Rings: The Return of the King,2003,PG-13,Adventure,201,930134,0.93,0.89,0.956989247312
34,8.5,The Lion King,1994,G,Animation,88,342551365,0.93,0.85,0.913978494624
56,8.5,The Great Dictator,1940,G,Comedy,125,7563397,0.92,0.85,0.923913043478
99,8.3,The Hunt,2012,R,Drama,115,449102,0.92,0.83,0.902173913043
45,8.5,Memento,2000,R,Mystery,113,1198932,0.92,0.85,0.923913043478
4,8.9,Pulp Fiction,1994,R,Crime,154,1935047,0.92,0.89,0.967391304348
90,8.3,Full Metal Jacket,1987,R,Drama,116,25544867,0.91,0.83,0.912087912088
0,9.3,The Shawshank Redemption,1994,R,Drama,142,1963330,0.91,0.93,1.02197802198
10,8.8,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Adventure,178,1012829,0.91,0.88,0.967032967033
98,8.3,For a Few Dollars More,1965,R,Western,132,32572577,0.91,0.83,0.912087912088
95,8.3,Reservoir Dogs,1992,PG,Crime,99,255126,0.91,0.83,0.912087912088
33,8.5,The Departed,2006,R,Crime,151,1267102,0.91,0.85,0.934065934066
28,8.6,City of God,2002,R,Crime,130,290475067,0.91,0.86,0.945054945055
53,8.5,Cinema Paradiso,1988,R,Drama,155,854833,0.9,0.85,0.944444444444
84,8.3,A Clockwork Orange,1971,G,Crime,136,136801374,0.9,0.83,0.922222222222
27,8.6,The Usual Suspects,1995,R,Crime,106,988556,0.89,0.86,0.966292134831
63,8.4,American Beauty,1999,PG,Drama,122,186425,0.88,0.84,0.954545454545
80,8.3,Inglourious Basterds,2009,G,Adventure,153,78900000,0.88,0.83,0.943181818182
79,8.4,Baahubali 2: The Conclusion,2017,R,Action,167,670972,0.88,0.84,0.954545454545
15,8.7,The Matrix,1999,R,Action,136,6100000,0.88,0.87,0.988636363636
54,8.5,Dangal,2016,Not Rated,Action,161,23341568,0.88,0.85,0.965909090909
97,8.3,Indiana Jones and the Last Crusade,1989,R,Action,127,594442,0.88,0.83,0.943181818182
61,8.4,The Dark Knight Rises,2012,R,Action,164,134896,0.87,0.84,0.965517241379
60,8.4,The Shining,1980,PG-13,Drama,146,7270000,0.87,0.84,0.965517241379
11,8.8,Inception,2010,PG-13,Action,148,96067179,0.87,0.88,1.01149425287
68,8.4,Once Upon a Time in America,1984,R,Crime,229,312900000,0.86,0.84,0.976744186047
59,8.4,Django Unchained,2012,R,Drama,165,330423,0.86,0.84,0.976744186047
9,8.8,Avengers: Infinity War,2018,PG-13,Action,149,107928762,0.85,0.88,1.03529411765
87,8.3,Batman Begins,2005,R,Action,140,854482,0.84,0.83,0.988095238095
46,8.5,American History X,1998,R,Crime,119,100125643,0.83,0.85,1.02409638554
88,8.3,Scarface,1983,PG,Crime,170,204843350,0.81,0.83,1.02469135802
96,8.3,Star Wars: Episode VI - Return of the Jedi,1983,PG-13,Action,131,5321508,0.81,0.83,1.02469135802
23,8.6,Se7en,1995,R,Crime,127,1491637,0.81,0.86,1.06172839506
29,8.6,Life Is Beautiful,1997,PG-13,Comedy,116,1411085,0.8,0.86,1.075
42,8.5,The Green Mile,1999,R,Crime,189,130742922,0.79,0.85,1.07594936709
86,8.3,Requiem for a Dream,2000,PG-13,Drama,102,32000000,0.79,0.83,1.05063291139
13,8.8,Fight Club,1999,R,Drama,139,377845905,0.79,0.88,1.11392405063
62,8.4,Braveheart,1995,R,Biography,178,19181,0.77,0.84,1.09090909091
36,8.5,Gladiator,2000,R,Action,155,112000000,0.76,0.85,1.11842105263
38,8.5,The Prestige,2006,PG-13,Drama,130,269061,0.76,0.85,1.11842105263
47,8.5,The Intouchables,2011,R,Biography,112,1059654,0.75,0.85,1.13333333333
93,8.3,Snatch,2000,R,Comedy,102,622183,0.73,0.83,1.13698630137
20,8.6,Interstellar,2014,PG-13,Adventure,169,315544750,0.72,0.86,1.19444444444
12,8.8,Forrest Gump,1994,PG-13,Drama,142,1401164,0.72,0.88,1.22222222222
22,8.6,Lon: The Professional,1994,R,Crime,110,292576195,,0.86,
58,8.5,Babam ve Oglum,2005,R,Drama,108,57598247,,0.85,
64,8.4,Kimi no na wa.,2016,R,Animation,106,209726015,,0.84,
65,8.4,Oldeuboi,2003,R,Action,120,1011454,,0.84,
67,8.4,WALLáE,2008,R,Animation,98,770983,,0.84,
75,8.4,Taare Zameen Par,2007,Not Rated,Drama,165,998305,,0.84,
